feature,rf_importance,gb_importance,avg_importance
surface_0,0.23105423829776217,0.2408557469713879,0.23595499263457503
surface_2,0.16230078436438825,0.14769136978761588,0.15499607707600205
surface_area_m2g,0.10736746141429326,0.10813970704235204,0.10775358422832265
metal_Dy,0.05097978831865702,0.06494530477940343,0.05796254654903023
topo_pcu,0.04987473687128587,0.05714898746042903,0.053511862165857446
temp_time_interaction,0.04827496946620679,0.05478810869207302,0.051531539079139904
metal_Tb,0.04455562649144528,0.04917229596969853,0.046863961230571904
topo_mtn,0.04256027895987796,0.03972470484124065,0.04114249190055931
surface_1,0.03912618796882378,0.03219854175892959,0.03566236486387668
metal_Mn,0.027745942507126163,0.02459998941635877,0.026172965961742466
metal_Cr,0.022051694440426275,0.021367402415652246,0.02170954842803926
temperature_celsius,0.016835500823583475,0.017079731214823975,0.016957616019203724
pore_density,0.01566362270791827,0.016350506823001158,0.016007064765459714
temp_squared,0.015651118151763975,0.014408379803487865,0.01502974897762592
pore_diameter_angstrom,0.013306455756104731,0.014170174893845594,0.013738315324975162
log_reaction_time,0.01269914970341998,0.011639054182913377,0.012169101943166678
reaction_time_hours,0.01253924117111699,0.0104481084253963,0.011493674798256644
topo_dia,0.012259576903808318,0.01000346190319576,0.011131519403502039
void_fraction,0.01074971486175078,0.008810061249947833,0.009779888055849307
void_fraction_normalized,0.010020438490601358,0.008381545615995648,0.009200992053298503
metal_Al,0.009004872504286858,0.007652002851465686,0.008328437677876272
metal_Cu,0.00896784807105569,0.007198147233887532,0.008082997652471611
metal_Zn,0.004268257982976295,0.0062919576379645795,0.005280107810470437
linker_complexity,0.003402506872823326,0.004777958344480061,0.004090232608651693
linker_mw,0.0029341941519777613,0.0034646876881613466,0.003199440920069554
solvent_EtOH,0.0025723685990577984,0.0027490405364977615,0.00266070456777778
solvent_H2O,0.002365072391204264,0.0025495343007232575,0.0024573033459637608
topo_cmo,0.0022711923325219523,0.0023020360725178397,0.002286614202519896
solvent_DMF,0.0022322494464397367,0.00186815631521625,0.002050202880827993
metal_Co,0.0021525016971636487,0.0016669969521262114,0.00190974932464493
solvent_CHCl3,0.0021110651337905434,0.0015464133603242634,0.0018287392470574034
topo_bcu,0.0018464522340333378,0.0014913945481856235,0.0016689233911094806
metal_Ni,0.001806737414059571,0.0010651478496034256,0.0014359426318314983
metal_Fe,0.0016426960789865863,0.0007911138600470845,0.0012169049695168353
linker_num_carbons,0.001595431999005093,0.0007761855883125235,0.0011858087936588084
solvent_MeOH,0.0015874896811266736,0.0006233343130267544,0.0011054119970767139
linker_hba,0.0014415768538026024,0.0005659742457151729,0.0010037755497588877
linker_num_oxygens,0.0013077053682995624,0.0004165986436944741,0.0008621520059970182
linker_hbd,0.0008732535170280224,0.00028013641030158335,0.0005766949636648029
linker_aromatic_rings,0.0,0.0,0.0
